date,close,volume
,ALL.AX,ALL.AX
2025-03-07,69.2633285522461,1166600
2025-03-10,68.89596557617188,1199622
2025-03-11,67.70450592041016,1730601
2025-03-12,66.62226867675781,1362803
2025-03-13,66.16554260253906,1391408
2025-03-14,66.19532775878906,1380673
2025-03-17,65.99675750732422,939950
2025-03-18,64.17977905273438,1116476
2025-03-19,63.17697525024414,2606054
2025-03-20,64.61665344238281,2180724
2025-03-21,65.2421646118164,3624602
2025-03-24,66.41376495361328,927456
2025-03-25,66.96977233886719,1067766
2025-03-26,67.02935028076172,1086768
2025-03-27,64.96415710449219,1258177
2025-03-28,64.4577865600586,1483638
2025-03-31,63.69327163696289,1683346
2025-04-01,65.03366088867188,926328
2025-04-02,65.17266082763672,1298251
2025-04-03,64.70600891113281,1667098
2025-04-04,60.714630126953125,2579772
2025-04-07,56.98139953613281,4466832
2025-04-08,59.15580749511719,2176572
2025-04-09,59.64231872558594,1370613
2025-04-10,62.68053436279297,2013887
2025-04-11,62.452171325683594,1263297
2025-04-14,62.49188232421875,948645
2025-04-15,61.76708221435547,1041506
2025-04-16,61.59829330444336,1202772
2025-04-17,62.005374908447266,1045441
2025-04-22,61.07206344604492,1512225
2025-04-23,63.74291229248047,1199290
2025-04-24,63.79255676269531,1356406
2025-04-28,64.61665344238281,1997685
2025-04-29,65.1528091430664,912120
2025-04-30,66.3641128540039,1704595
2025-05-01,66.3343276977539,1410922
2025-05-02,67.17828369140625,1174550
2025-05-05,66.80098724365234,1029090
2025-05-06,67.30735778808594,865648
2025-05-07,67.79386138916016,1445994
2025-05-08,67.51586151123047,1511909
2025-05-09,66.23504638671875,1240305
2025-05-12,66.54283142089844,995431
2025-05-13,67.64492797851562,1878343
2025-05-14,61.65786361694336,5733355
2025-05-15,62.80960464477539,3443645
2025-05-16,62.41245651245117,2164659
2025-05-19,62.2138786315918,1243585
2025-05-20,62.28337860107422,1507081
2025-05-21,61.36000061035156,1540082
2025-05-22,60.56999969482422,1794826
2025-05-23,60.72999954223633,1197343
2025-05-26,61.119998931884766,1426790
2025-05-27,62.27000045776367,1498625
2025-05-28,62.560001373291016,1514406
2025-05-29,62.33000183105469,1436623
2025-05-30,62.400001525878906,3028459
2025-06-02,62.029998779296875,826910
2025-06-03,61.4900016784668,1293627
2025-06-04,63.25,1852318
2025-06-05,62.97999954223633,1820260
2025-06-06,62.310001373291016,986348
2025-06-10,64.56999969482422,1783655
2025-06-11,65.41999816894531,2486587
2025-06-12,64.36000061035156,1739581
2025-06-13,64.04000091552734,1270636
2025-06-16,64.4800033569336,1395669
2025-06-17,64.7699966430664,2074553
2025-06-18,65.70999908447266,1624629
2025-06-19,66.7300033569336,1988467
2025-06-20,67.19999694824219,6517900
2025-06-23,65.47000122070312,1656023
2025-06-24,65.91999816894531,1052941
2025-06-25,65.3499984741211,1888381
2025-06-26,65.19999694824219,919230
2025-06-27,64.36000061035156,1253604
2025-06-30,65.16999816894531,1754150
2025-07-01,65.66999816894531,1017923
2025-07-02,66.93000030517578,1542894
2025-07-03,66.86000061035156,1086657
2025-07-04,67.81999969482422,847949
2025-07-07,67.63999938964844,581512
2025-07-08,67.83999633789062,1458854
2025-07-09,68.0,1107044
2025-07-10,68.37000274658203,662170
2025-07-11,67.62000274658203,824962
2025-07-14,66.9800033569336,820103
2025-07-15,67.7699966430664,667415
2025-07-16,66.5999984741211,1393746
2025-07-17,67.01000213623047,1375227
2025-07-18,68.13999938964844,1514754
2025-07-21,67.19999694824219,1003849
2025-07-22,67.4000015258789,2649181
2025-07-23,67.5,1217252
2025-07-24,67.44999694824219,1054860
2025-07-25,67.19000244140625,754245
2025-07-28,68.02999877929688,878788
2025-07-29,68.3499984741211,999229
2025-07-30,68.43000030517578,871288
2025-07-31,70.04000091552734,1856332
2025-08-01,69.20999908447266,1435722
2025-08-04,68.72000122070312,565569
2025-08-05,69.02999877929688,955925
2025-08-06,70.33000183105469,926349
2025-08-07,71.37999725341797,934828
2025-08-08,70.11000061035156,747665
2025-08-11,69.33999633789062,1117128
2025-08-12,70.16999816894531,1040364
2025-08-13,69.69999694824219,1631749
2025-08-14,70.05000305175781,1332068
2025-08-15,70.68000030517578,871216
2025-08-18,70.56999969482422,523760
2025-08-19,70.97000122070312,780414
2025-08-20,71.18000030517578,1335493
2025-08-21,72.06999969482422,1134467
2025-08-22,70.8499984741211,1603188
2025-08-25,71.58000183105469,1102066
2025-08-26,71.86000061035156,1873136
2025-08-27,72.5,677679
