Ticker,Company,Price,MarketCapB
WAF,West African Resources Ltd,2.90,3.31
CLW,Charter Hall Long Wale REIT,4.56,3.24
RWC,Reliance Worldwide Corporation Ltd,4.16,3.22
NIC,Nickel Industries Ltd,0.74,3.21
PDN,Paladin Energy Ltd,7.41,2.96
FBU,Fletcher Building Ltd,2.75,2.96
TPW,Temple & Webster Group Ltd,24.57,2.96
PXA,Pexa Group Ltd,16.57,2.94
ASB,Austal Ltd,6.97,2.94
BPT,Beach Energy Ltd,1.275,2.91
RGN,Region Group,2.47,2.87
ORA,Orora Ltd,2.21,2.83
FLT,Flight Centre Travel Group Ltd,12.93,2.82
HDN,Homeco Daily Needs,1.345,2.81
