Code,Name,Country,Exchange,Currency,Type,Isin,ticker,name
ADN,Andromeda Metals Ltd,Australia,AU,AUD,Common Stock,AU000000ADN0,ADN,Andromeda Metals Ltd
ADO,Anteotech Ltd,Australia,AU,AUD,Common Stock,AU000000ADO8,ADO,Anteotech Ltd
ADR,Adherium Ltd,Australia,AU,AUD,Common Stock,AU000000ADR1,ADR,Adherium Ltd
ADS,Adslot Ltd,Australia,AU,AUD,Common Stock,AU0000087819,ADS,Adslot Ltd
ADT,Adriatic Metals Plc,Australia,AU,AUD,Common Stock,AU0000004772,ADT,Adriatic Metals Plc
ADV,Ardiden Ltd,Australia,AU,AUD,Common Stock,AU000000ADV3,ADV,Ardiden Ltd
ADX,ADX Energy Ltd,Australia,AU,AUD,Common Stock,AU000000ADX9,ADX,ADX Energy Ltd
ADY,Admiralty Resources NL,Australia,AU,AUD,Common Stock,AU000000ADY7,ADY,Admiralty Resources NL
AEBD,Betashares Ethical Australian Composite Bond ETF,Australia,AU,AUD,ETF,AU0000357675,AEBD,Betashares Ethical Australian Composite Bond ETF
AEE,Aura Energy Ltd,Australia,AU,AUD,Common Stock,AU000000AEE7,AEE,Aura Energy Ltd
AEF,Australian Ethical Investment Ltd,Australia,AU,AUD,Common Stock,AU000000AEF4,AEF,Australian Ethical Investment Ltd
AEI,Aeris Environmental Ltd,Australia,AU,AUD,Common Stock,AU000000AEI8,AEI,Aeris Environmental Ltd
AEL,Amplitude Energy Ltd,Australia,AU,AUD,Common Stock,,AEL,Amplitude Energy Ltd
AER,Aeeris Ltd,Australia,AU,AUD,Common Stock,AU000000AER9,AER,Aeeris Ltd
AESG,Ishares Global Aggregate Bond Esg (Aud Hedged) ETF,Australia,AU,AUD,ETF,AU0000227589,AESG,Ishares Global Aggregate Bond Esg (Aud Hedged) ETF
AEV,Avenira Ltd,Australia,AU,AUD,Common Stock,AU000000AEV1,AEV,Avenira Ltd
AFA,Asf Group Ltd,Australia,AU,AUD,Common Stock,AU000000AFA2,AFA,Asf Group Ltd
AFG,Australian Finance Group Ltd,Australia,AU,AUD,Common Stock,AU000000AFG9,AFG,Australian Finance Group Ltd
AFI,Australian Foundation Investment Company Ltd,Australia,AU,AUD,Common Stock,AU000000AFI5,AFI,Australian Foundation Investment Company Ltd
AFL,Af Legal Group Ltd,Australia,AU,AUD,Common Stock,AU0000048001,AFL,Af Legal Group Ltd
AFP,Aft Pharmaceuticals Ltd,Australia,AU,AUD,Common Stock,NZAFTE0001S4,AFP,Aft Pharmaceuticals Ltd
AGC,Australian Gold and Copper Ltd,Australia,AU,AUD,Common Stock,AU0000122194,AGC,Australian Gold and Copper Ltd
AGD,Austral Gold Ltd,Australia,AU,AUD,Common Stock,AU000000AGD4,AGD,Austral Gold Ltd
AGE,Alligator Energy Ltd,Australia,AU,AUD,Common Stock,AU000000AGE2,AGE,Alligator Energy Ltd
AGH,Althea Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU0000022774,AGH,Althea Group Holdings Ltd
AGI,Ainsworth Game Technology Ltd,Australia,AU,AUD,Common Stock,AU000000AGI3,AGI,Ainsworth Game Technology Ltd
AGL,AGL Energy Ltd,Australia,AU,AUD,Common Stock,AU000000AGL7,AGL,AGL Energy Ltd
AGN,Argenica Therapeutics Ltd,Australia,AU,AUD,Common Stock,AU0000150328,AGN,Argenica Therapeutics Ltd
AGR,Aguia Resources Ltd,Australia,AU,AUD,Common Stock,AU000000AGR4,AGR,Aguia Resources Ltd
AGVT,Betashares Australian Government Bond ETF,Australia,AU,AUD,ETF,AU0000049553,AGVT,Betashares Australian Government Bond ETF
AGX1,Antipodes Global Value Active ETF,Australia,AU,AUD,ETF,AU0000026429,AGX1,Antipodes Global Value Active ETF
AGY,Argosy Minerals Ltd,Australia,AU,AUD,Common Stock,AU000000AGY0,AGY,Argosy Minerals Ltd
AHC,Austco Healthcare Ltd,Australia,AU,AUD,Common Stock,AU0000120818,AHC,Austco Healthcare Ltd
AHF,Australian Dairy Nutritionals Ltd,Australia,AU,AUD,Common Stock,AU000000AHF7,AHF,Australian Dairy Nutritionals Ltd
AHK,Ark Mines Ltd,Australia,AU,AUD,Common Stock,AU000000AHK7,AHK,Ark Mines Ltd
AHL,Adrad Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000AHL5,AHL,Adrad Holdings Ltd
AHN,Athena Resources Ltd,Australia,AU,AUD,Common Stock,AU000000AHN1,AHN,Athena Resources Ltd
AHX,Apiam Animal Health Ltd,Australia,AU,AUD,Common Stock,AU000000AHX0,AHX,Apiam Animal Health Ltd
AI1,Adisyn Ltd,Australia,AU,AUD,Common Stock,AU0000108367,AI1,Adisyn Ltd
AIA,Auckland International Airport Ltd,Australia,AU,AUD,Common Stock,NZAIAE0002S6,AIA,Auckland International Airport Ltd
AII,Almonty Industries Inc,Australia,AU,AUD,Common Stock,AU0000157679,AII,Almonty Industries Inc
AIIDA,Chess Depositary Interests 1:1 Deferred Settlement,Australia,AU,AUD,Common Stock,AU0000404717,AIIDA,Chess Depositary Interests 1:1 Deferred Settlement
AIM,Ai-Media Technologies Ltd,Australia,AU,AUD,Common Stock,AU0000101636,AIM,Ai-Media Technologies Ltd
AINF,Global X Ai Infrastructure ETF,Australia,AU,AUD,ETF,AU0000383986,AINF,Global X Ai Infrastructure ETF
AIQ,Alternative Investment Trust,Australia,AU,AUD,Common Stock,AU000000AIQ2,AIQ,Alternative Investment Trust
AIS,Aeris Resources Ltd,Australia,AU,AUD,Common Stock,AU000000AIS8,AIS,Aeris Resources Ltd
AIV,Activex Ltd,Australia,AU,AUD,Common Stock,AU000000AIV2,AIV,Activex Ltd
AIZ,Air New Zealand Ltd,Australia,AU,AUD,Common Stock,NZAIRE0001S2,AIZ,Air New Zealand Ltd
AJL,AJ Lucas Group Ltd,Australia,AU,AUD,Common Stock,AU000000AJL1,AJL,AJ Lucas Group Ltd
AJX,Alexium International Group Ltd,Australia,AU,AUD,Common Stock,AU000000AJX6,AJX,Alexium International Group Ltd
AKA,Aureka Ltd,Australia,AU,AUD,Common Stock,,AKA,Aureka Ltd
AKG,Academies Australasia Group Ltd,Australia,AU,AUD,Common Stock,AU000000AKG9,AKG,Academies Australasia Group Ltd
AKM,Aspire Mining Ltd,Australia,AU,AUD,Common Stock,AU000000AKM7,AKM,Aspire Mining Ltd
AKN,Auking Mining Ltd,Australia,AU,AUD,Common Stock,AU000000AKN5,AKN,Auking Mining Ltd
AKO,Akora Resources Ltd,Australia,AU,AUD,Common Stock,AU0000113698,AKO,Akora Resources Ltd
