date,open,high,low,close,volume,ticker
2022-08-22,5.73,5.82,5.5,5.61,6792534.0,TPG.AX
2022-08-23,5.5,5.71,5.455,5.65,4368030.0,TPG.AX
2022-08-24,5.59,5.63,5.42,5.6,3529297.0,TPG.AX
2022-08-25,5.61,5.615,5.34,5.41,7412706.0,TPG.AX
2022-08-26,5.4,5.43,5.235,5.33,3633137.0,TPG.AX
2022-08-29,5.25,5.34,5.23,5.26,1854003.0,TPG.AX
2022-08-30,5.31,5.32,5.24,5.27,1190344.0,TPG.AX
2022-08-31,5.26,5.395,5.23,5.35,1370533.0,TPG.AX
2022-09-01,5.31,5.39,5.27,5.32,1316037.0,TPG.AX
2022-09-02,5.3,5.38,5.29,5.29,1020638.0,TPG.AX
2022-09-05,5.33,5.33,5.17,5.2,1997871.0,TPG.AX
2022-09-06,5.18,5.24,5.16,5.2,1479509.0,TPG.AX
2022-09-07,5.14,5.17,5.05,5.11,2006887.0,TPG.AX
2022-09-08,5.15,5.25,5.14,5.2,1793720.0,TPG.AX
2022-09-09,5.13,5.22,5.12,5.16,2453792.0,TPG.AX
2022-09-12,5.22,5.23,5.16,5.17,1023760.0,TPG.AX
2022-09-13,5.09,5.14,5.05,5.14,1541318.0,TPG.AX
2022-09-14,5.03,5.08,4.98,5.07,2024943.0,TPG.AX
2022-09-15,5.1,5.1,5.0,5.01,1599714.0,TPG.AX
2022-09-16,4.98,5.01,4.93,4.93,4297199.0,TPG.AX
2022-09-19,4.93,4.99,4.88,4.91,1640695.0,TPG.AX
2022-09-20,4.98,5.04,4.97,5.0,1347353.0,TPG.AX
2022-09-21,4.98,5.03,4.94,4.97,1958813.0,TPG.AX
2022-09-23,4.9,4.94,4.85,4.86,2405558.0,TPG.AX
2022-09-26,4.8,4.85,4.78,4.83,2002983.0,TPG.AX
2022-09-27,4.78,4.83,4.7,4.76,2207021.0,TPG.AX
2022-09-28,4.71,4.79,4.68,4.74,2095949.0,TPG.AX
2022-09-29,4.84,4.92,4.81,4.89,1136063.0,TPG.AX
2022-09-30,4.86,4.895,4.8,4.85,1481879.0,TPG.AX
2022-10-03,4.82,4.86,4.74,4.75,1038398.0,TPG.AX
2022-10-04,4.75,4.85,4.74,4.8,1594967.0,TPG.AX
2022-10-05,4.84,4.88,4.78,4.8,2045508.0,TPG.AX
2022-10-06,4.77,4.85,4.73,4.85,1807724.0,TPG.AX
2022-10-07,4.78,4.83,4.76,4.78,1362113.0,TPG.AX
2022-10-10,4.72,4.74,4.67,4.67,1303598.0,TPG.AX
2022-10-11,4.65,4.71,4.6,4.6,1295295.0,TPG.AX
2022-10-12,4.56,4.68,4.56,4.6,1635798.0,TPG.AX
2022-10-13,4.61,4.63,4.57,4.59,961422.0,TPG.AX
2022-10-14,4.67,4.69,4.61,4.64,735757.0,TPG.AX
2022-10-17,4.61,4.66,4.57,4.64,920926.0,TPG.AX
2022-10-18,4.62,4.7,4.62,4.68,1385170.0,TPG.AX
2022-10-19,4.72,4.78,4.69,4.73,1070887.0,TPG.AX
2022-10-20,4.69,4.7,4.59,4.61,1439259.0,TPG.AX
2022-10-21,4.59,4.62,4.54,4.54,2207834.0,TPG.AX
2022-10-24,4.6,4.64,4.54,4.58,1207811.0,TPG.AX
2022-10-25,4.59,4.7,4.59,4.69,1477457.0,TPG.AX
2022-10-26,4.76,4.76,4.7,4.76,1148514.0,TPG.AX
2022-10-27,4.77,4.87,4.73,4.73,1263420.0,TPG.AX
2022-10-28,4.72,4.885,4.69,4.81,1246988.0,TPG.AX
2022-10-31,4.92,4.96,4.855,4.9,1526561.0,TPG.AX
2022-11-01,4.92,4.93,4.85,4.9,1591266.0,TPG.AX
2022-11-02,4.88,4.89,4.77,4.77,1260742.0,TPG.AX
2022-11-03,4.69,4.79,4.67,4.77,817885.0,TPG.AX
2022-11-04,4.72,4.845,4.72,4.82,1418903.0,TPG.AX
2022-11-07,4.87,4.87,4.8,4.84,979016.0,TPG.AX
2022-11-08,4.85,4.88,4.82,4.83,805715.0,TPG.AX
2022-11-09,4.89,4.89,4.79,4.83,577052.0,TPG.AX
2022-11-10,4.8,4.85,4.77,4.85,538896.0,TPG.AX
2022-11-11,4.94,4.97,4.88,4.91,2061918.0,TPG.AX
2022-11-14,4.91,4.93,4.81,4.83,1191112.0,TPG.AX
2022-11-15,4.89,4.93,4.85,4.91,1062657.0,TPG.AX
2022-11-16,4.9,4.9,4.82,4.84,669599.0,TPG.AX
2022-11-17,4.88,4.88,4.83,4.88,2083181.0,TPG.AX
2022-11-18,4.89,4.97,4.87,4.94,2117353.0,TPG.AX
2022-11-21,4.94,4.94,4.88,4.93,1338950.0,TPG.AX
2022-11-22,4.95,4.96,4.9,4.9,673275.0,TPG.AX
2022-11-23,4.91,4.94,4.84,4.88,1047292.0,TPG.AX
2022-11-24,4.88,4.92,4.87,4.89,819029.0,TPG.AX
2022-11-25,4.92,4.95,4.895,4.92,874796.0,TPG.AX
2022-11-28,4.93,4.95,4.9,4.95,533545.0,TPG.AX
2022-11-29,4.96,4.98,4.91,4.96,1102547.0,TPG.AX
2022-11-30,4.97,4.98,4.89,4.89,812639.0,TPG.AX
2022-12-01,4.92,4.97,4.91,4.96,829424.0,TPG.AX
2022-12-02,4.98,5.075,4.96,5.0,1323457.0,TPG.AX
2022-12-05,5.02,5.02,4.95,5.0,557796.0,TPG.AX
2022-12-06,5.0,5.04,4.965,5.04,1686063.0,TPG.AX
2022-12-07,4.98,5.06,4.94,5.04,1653661.0,TPG.AX
2022-12-08,5.04,5.06,4.89,5.06,2026421.0,TPG.AX
2022-12-09,5.06,5.06,4.97,5.06,1632078.0,TPG.AX
