date,open,high,low,close,close,volume
2023-07-11,98.97,99.62,98.73,99.62,91.1063,1793004
2023-07-12,100.01,100.15,99.15,99.15,90.6765,1765254
2023-07-13,100.14,100.855,99.71,100.62,92.0208,3171603
2023-07-14,100.88,101.59,100.59,101.33,92.6702,2083622
2023-07-17,101.45,101.91,101.2,101.87,93.164,1608226
2023-07-18,102.3,103.1,102.11,102.57,93.8042,2084918
2023-07-19,103.84,104.65,103.24,104.65,95.7064,3567951
2023-07-20,105.5,106.23,104.7,105.25,96.2551,3465003
2023-07-21,104.85,105.07,104.17,104.55,95.615,3354092
2023-07-24,105.3,105.3,104.33,104.43,95.5052,1554919
2023-07-25,104.4,104.4,103.51,104.2,95.2949,1520910
2023-07-26,103.93,105.77,103.67,105.0,96.0265,1631244
2023-07-27,105.4,107.09,105.3,106.53,97.4258,2544987
2023-07-28,105.51,106.09,104.82,105.5,96.4838,1880770
2023-07-31,105.76,105.98,104.93,105.71,96.6758,1265049
2023-08-01,105.22,106.2,104.84,105.85,96.8039,1440788
2023-08-02,105.23,105.35,103.09,103.46,94.6181,2074443
2023-08-03,102.96,103.34,102.06,102.46,93.7036,2890772
2023-08-04,102.7,103.15,101.7,101.87,93.164,2687798
2023-08-07,102.09,102.22,101.49,101.85,93.1457,2771020
2023-08-08,102.4,102.58,101.93,102.21,93.475,3241229
2023-08-09,104.81,105.22,103.55,104.85,95.8893,2635786
2023-08-10,103.82,104.69,103.12,104.47,95.5418,2461857
2023-08-11,104.31,105.0,104.02,104.4,95.4778,1734661
2023-08-14,103.63,104.13,103.41,103.7,94.8376,2624230
2023-08-15,104.0,104.19,103.35,103.51,94.6639,1631886
2023-08-16,100.02,100.48,99.48,99.79,93.428,4423573
2023-08-17,99.9,99.9,98.67,99.65,93.2969,3049916
2023-08-18,99.21,99.46,98.55,99.05,92.7352,2430138
2023-08-21,98.92,99.58,98.32,98.45,92.1734,2651338
2023-08-22,98.09,98.67,97.69,98.67,92.3794,3070402
2023-08-23,98.2,99.84,98.0,99.45,93.1097,3375196
2023-08-24,100.1,100.84,99.6,100.61,94.1957,2630712
2023-08-25,100.24,100.27,99.37,99.57,93.222,2301999
2023-08-28,99.8,100.81,99.74,100.78,94.3549,1652565
2023-08-29,101.39,101.45,100.48,101.03,94.589,1519428
2023-08-30,101.63,102.465,101.5,101.84,95.3473,1810483
2023-08-31,101.83,102.45,101.61,102.18,95.6656,3576801
2023-09-01,101.7,102.0,101.2,101.35,94.8886,1596631
2023-09-04,101.69,102.27,101.57,102.01,95.5065,1425483
2023-09-05,102.1,102.29,101.75,102.22,95.7031,1274211
2023-09-06,102.75,103.18,101.295,101.51,95.0383,2000414
2023-09-07,101.0,101.38,100.31,100.9,94.4672,1721897
2023-09-08,101.23,101.47,100.15,100.81,94.383,1271405
2023-09-11,100.8,102.18,100.55,102.04,95.5346,1707461
2023-09-12,102.4,102.59,101.12,102.11,95.6001,1303827
2023-09-13,102.15,102.15,101.01,101.7,95.2162,1281734
2023-09-14,101.17,102.46,101.15,102.13,95.6188,2242700
2023-09-15,103.0,103.57,102.68,103.16,96.5832,4199986
2023-09-18,102.6,102.8,101.93,102.63,96.0869,886664
2023-09-19,102.32,102.39,101.44,102.13,95.6188,1806193
2023-09-20,102.27,102.49,101.44,101.84,95.3473,2498953
2023-09-21,101.67,101.88,99.75,100.08,93.6995,2447271
2023-09-22,98.5,100.06,98.1,100.06,93.6808,3396755
2023-09-25,100.0,100.0,99.02,99.88,93.5123,1014251
2023-09-26,99.7,100.37,99.26,100.08,93.6995,1292290
2023-09-27,100.0,100.58,99.86,100.53,94.1208,1346621
2023-09-28,100.49,100.74,99.56,99.95,93.5778,1422062
2023-09-29,99.98,100.08,99.56,99.97,93.5965,2444569
2023-10-02,99.36,99.97,98.91,99.85,93.4842,1131578
2023-10-03,98.66,99.85,98.5,99.69,93.3344,2702099
2023-10-04,99.0,99.14,97.6,98.09,91.8364,2543630
2023-10-05,98.3,99.38,98.2,98.98,92.6696,1726498
2023-10-06,99.05,100.655,98.9,100.04,93.6621,2408410
2023-10-09,99.97,100.56,99.7,100.03,93.6527,1108229
2023-10-10,100.99,101.19,100.29,100.7,94.28,2252750
2023-10-11,100.89,101.0,100.32,100.64,94.2238,1577672
2023-10-12,101.17,102.22,100.61,101.6,95.1226,2162969
2023-10-13,100.6,101.23,100.51,100.97,94.5328,1473078
2023-10-16,100.5,100.83,100.25,100.67,94.2519,1448174
2023-10-17,101.35,101.51,100.92,101.2,94.7481,1210306
2023-10-18,101.18,101.74,101.0,101.42,94.9541,1652838
2023-10-19,100.09,100.58,99.33,99.78,93.4186,2642789
2023-10-20,99.09,99.78,98.32,98.75,92.4543,2641664
2023-10-23,98.3,98.6,97.63,97.82,91.5836,1348775
2023-10-24,98.38,98.64,98.02,98.07,91.8177,1686722
2023-10-25,98.2,98.55,97.12,97.35,91.1436,1662864
2023-10-26,96.99,97.25,96.4,97.0,90.8159,2289128
2023-10-27,97.55,98.28,97.55,97.8,91.5649,2273929
2023-10-30,96.72,96.785,96.15,96.22,90.0856,2033713
2023-10-31,97.09,97.21,96.25,96.56,90.4039,2533920
2023-11-01,96.9,96.97,96.3,96.87,90.6942,2162550
2023-11-02,98.27,99.01,98.06,98.43,92.1547,2307420
2023-11-03,99.6,99.99,99.2,99.93,93.5591,2507791
2023-11-06,99.84,101.26,99.75,100.42,94.0178,2282526
2023-11-07,100.63,100.64,99.49,100.01,93.634,1806507
2023-11-08,100.58,101.06,100.21,100.69,94.2706,1432581
2023-11-09,101.3,103.0,101.1,102.11,95.6001,3152761
2023-11-10,101.75,101.88,101.01,101.32,94.8605,1407582
2023-11-13,101.23,101.84,100.87,101.31,94.8511,1472779
2023-11-14,102.35,102.64,101.62,102.28,95.7593,2049690
2023-11-15,103.3,103.64,101.92,102.15,95.6375,3169156
2023-11-16,102.8,102.88,101.85,102.29,95.7686,1993737
2023-11-17,102.38,102.69,101.87,102.47,95.9371,2729262
2023-11-20,102.8,103.32,102.7,103.17,96.5925,1627761
2023-11-21,103.52,103.86,103.25,103.7,97.0887,1970123
2023-11-22,103.4,104.31,103.38,103.8,97.1824,1292108
2023-11-23,103.54,103.79,102.82,102.96,96.3959,2421800
